Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,2,Adam Thielen,WR,3,MIN,TB,8,5,63,98,0,45,12,20,0,0,0,0,0,14.80
2017,REG,3,Jarius Wright,WR,3,MIN,TB,3,2,67,9,1,7,3,5,0,0,0,0,0,8.90
2017,REG,4,Laquon Treadwell,WR,3,MIN,TB,1,1,100,2,0,2,2,2,0,0,0,0,0,1.20
2017,REG,1,Brandin Cooks,WR,3,NE,HOU,7,5,71,131,2,44,19,26,0,0,0,0,0,35.10
2017,REG,2,Chris Hogan,WR,3,NE,HOU,6,4,67,68,2,47,11,17,0,0,0,0,0,22.80
2017,REG,3,Danny Amendola,WR,3,NE,HOU,5,3,60,48,0,27,10,16,0,0,0,0,0,7.80
2017,REG,4,Phillip Dorsett,WR,3,NE,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Michael Thomas,WR,3,NO,CAR,8,7,88,87,1,26,11,12,0,0,0,0,0,21.70
2017,REG,2,Ted Ginn,WR,3,NO,CAR,3,2,67,44,1,40,15,22,1,15,0,0,0,13.90
2017,REG,3,Brandon Coleman,WR,3,NO,CAR,1,1,100,11,1,11,11,11,0,0,0,0,0,8.10
2017,REG,4,Tommylee Lewis,WR,3,NO,CAR,3,3,100,15,0,13,5,5,1,8,0,0,0,5.30
2017,REG,5,Justin Hardee,WR,3,NO,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Sterling Shepard,WR,3,NYG,PHI,10,7,70,133,1,77,13,19,0,0,0,0,0,29.30
2017,REG,2,Odell Beckham Jr,WR,3,NYG,PHI,13,9,69,79,2,14,6,9,0,0,0,0,0,28.90
2017,REG,3,Brandon Marshall,WR,3,NYG,PHI,11,8,73,66,0,18,6,8,0,0,0,0,0,14.60
2017,REG,4,Roger Lewis,WR,3,NYG,PHI,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60
2017,REG,5,Dwayne Harris,WR,3,NYG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Robby Anderson,WR,3,NYJ,MIA,6,3,50,95,1,69,16,32,0,0,0,0,0,18.50
2017,REG,2,Jeremy Kerley,WR,3,NYJ,MIA,5,5,100,42,0,14,8,8,0,0,0,0,0,9.20
2017,REG,3,Jermaine Kearse,WR,3,NYJ,MIA,3,3,100,42,0,18,14,14,0,0,0,0,0,7.20
2017,REG,4,Ardarius Stewart,WR,3,NYJ,MIA,1,1,100,24,0,24,24,24,0,0,0,0,0,3.40
2017,REG,5,Neal Sterling,WR,3,NYJ,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Charone Peake,WR,3,NYJ,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Seth Roberts,WR,3,OAK,WAS,5,4,80,20,0,9,4,5,0,0,0,1,1,5.00
2017,REG,2,Cordarrelle Patterson,WR,3,OAK,WAS,2,1,50,7,0,7,4,7,2,5,0,0,0,2.20
2017,REG,3,Michael Crabtree,WR,3,OAK,WAS,3,1,33,7,0,7,2,7,0,0,0,0,0,1.70
2017,REG,4,Amari Cooper,WR,3,OAK,WAS,5,1,20,6,0,6,1,6,0,0,0,0,0,1.60
2017,REG,5,Johnny Holton,WR,3,OAK,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Alshon Jeffery,WR,3,PHI,NYG,8,4,50,56,0,19,7,14,0,0,0,0,0,9.60
2017,REG,2,Torrey Smith,WR,3,PHI,NYG,5,4,80,29,0,14,6,7,0,0,0,0,0,6.90
2017,REG,3,Nelson Agholor,WR,3,PHI,NYG,3,2,67,20,0,11,7,10,0,0,0,0,0,4.00
2017,REG,4,Marcus Johnson,WR,3,PHI,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Mack Hollins,WR,3,PHI,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Antonio Brown,WR,3,PIT,CHI,14,10,71,110,1,23,8,11,0,0,0,0,0,30.00
2017,REG,2,Juju Smith-Schuster,WR,3,PIT,CHI,6,2,33,39,0,25,7,20,0,0,0,0,0,5.90
2017,REG,3,Martavis Bryant,WR,3,PIT,CHI,8,2,25,30,0,17,4,15,0,0,0,0,0,5.00
2017,REG,4,Darrius Heyward-Bey,WR,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Eli Rogers,WR,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.00
2017,REG,1,Doug Baldwin,WR,3,SEA,TEN,15,10,67,105,1,36,7,11,0,0,0,0,0,29.50
2017,REG,2,Paul Richardson,WR,3,SEA,TEN,7,2,29,30,1,22,4,15,0,0,0,0,0,11.00
2017,REG,3,Tyler Lockett,WR,3,SEA,TEN,3,2,67,30,0,16,10,15,0,0,0,0,0,5.00
2017,REG,4,Tanner McEvoy,WR,3,SEA,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Amara Darboh,WR,3,SEA,TEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
