Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,7,CJ Uzomah,TE,2,CIN,PIT,8,3,38,9,0,5,1,3,0,0,0,0,0,2.40
2016,REG,8,Ryan Hewitt,TE,1,CIN,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Tyler Kroft,TE,1,CIN,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Ryan Hewitt,TE,2,CIN,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Ryan Hewitt,TE,3,CIN,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Tyler Kroft,TE,3,CIN,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Ryan Hewitt,TE,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Tyler Kroft,TE,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Ryan Hewitt,TE,5,CIN,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Gary Barnidge,TE,3,CLE,MIA,6,5,83,66,0,26,11,13,0,0,0,0,0,11.10
2016,REG,2,Gary Barnidge,TE,5,CLE,NE,8,5,63,76,0,31,10,15,0,0,0,0,0,10.10
2016,REG,3,Gary Barnidge,TE,4,CLE,WAS,7,7,100,57,0,13,8,8,0,0,0,0,0,9.20
2016,REG,4,Connor Hamlett,TE,5,CLE,NE,1,1,100,17,1,17,17,17,0,0,0,0,0,8.20
2016,REG,5,Gary Barnidge,TE,2,CLE,BAL,5,4,80,37,0,14,7,9,0,0,0,0,0,5.70
2016,REG,6,Gary Barnidge,TE,1,CLE,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,7,Randall Telfer,TE,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,8,Seth DeValve,TE,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
