Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,YdsPerAtt,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2016,REG,17,Kapri Bibbs,RB,3,DEN,CIN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Andy Janovich,RB,4,DEN,TB,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Kapri Bibbs,RB,5,DEN,ATL,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Devontae Booker,RB,1,DEN,CAR,3,8,3,0,0,0,0,0,1,1,-1.20
2016,REG,1,Theo Riddick,RB,1,DET,IND,7,45,6,1,5,5,63,1,0,0,25.30
2016,REG,2,Theo Riddick,RB,5,DET,PHI,11,49,5,0,6,6,33,2,0,0,23.20
2016,REG,3,Ameer Abdullah,RB,1,DET,IND,12,63,5,0,5,5,57,1,0,0,20.50
2016,REG,4,Theo Riddick,RB,2,DET,TEN,11,37,3,0,5,4,28,0,0,0,8.50
2016,REG,5,Theo Riddick,RB,3,DET,GB,10,9,1,0,9,7,39,0,0,0,8.30
2016,REG,6,Theo Riddick,RB,4,DET,CHI,11,31,3,0,7,4,27,0,0,0,7.80
2016,REG,7,Dwayne Washington,RB,1,DET,IND,2,1,1,1,0,0,0,0,0,0,6.10
2016,REG,8,Zach Zenner,RB,5,DET,PHI,7,9,1,0,2,2,23,0,0,0,4.20
2016,REG,9,Dwayne Washington,RB,3,DET,GB,10,38,4,0,1,1,-3,0,0,0,4.00
2016,REG,10,Zach Zenner,RB,4,DET,CHI,3,12,4,0,1,1,22,0,0,0,3.90
2016,REG,11,Ameer Abdullah,RB,2,DET,TEN,6,38,6,0,0,0,0,0,0,0,3.80
2016,REG,12,Dwayne Washington,RB,2,DET,TEN,4,31,8,0,0,0,0,0,0,0,3.10
2016,REG,13,Dwayne Washington,RB,4,DET,CHI,2,6,3,0,1,1,8,0,0,0,1.90
2016,REG,14,Michael Burton,RB,1,DET,IND,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Michael Burton,RB,2,DET,TEN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Michael Burton,RB,3,DET,GB,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,Zach Zenner,RB,3,DET,GB,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Michael Burton,RB,4,DET,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Michael Burton,RB,5,DET,PHI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Eddie Lacy,RB,3,GB,DET,17,103,6,0,2,1,2,0,0,0,11.00
2016,REG,2,Eddie Lacy,RB,5,GB,NYG,11,81,7,0,1,1,3,0,0,0,8.90
2016,REG,3,Eddie Lacy,RB,1,GB,JAX,14,61,4,0,2,1,17,0,0,0,8.30
2016,REG,4,James Starks,RB,5,GB,NYG,12,33,3,0,6,3,19,0,1,0,6.70
2016,REG,5,Eddie Lacy,RB,2,GB,MIN,12,50,4,0,1,0,0,0,0,0,5.00
2016,REG,6,James Starks,RB,2,GB,MIN,7,3,0,0,1,1,16,0,0,0,2.40
2016,REG,7,James Starks,RB,1,GB,JAX,4,7,2,0,1,1,6,0,0,0,1.80
2016,REG,8,Aaron Ripkowski,RB,5,GB,NYG,2,17,9,0,0,0,0,0,0,0,1.70
2016,REG,9,James Starks,RB,3,GB,DET,1,-1,-1,0,2,1,9,0,0,0,1.30
2016,REG,10,Ty Montgomery,RB,5,GB,NYG,1,1,1,0,0,0,0,0,0,0,0.10
2016,REG,11,Ty Montgomery,RB,1,GB,JAX,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Aaron Ripkowski,RB,1,GB,JAX,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Ty Montgomery,RB,2,GB,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Aaron Ripkowski,RB,2,GB,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Aaron Ripkowski,RB,3,GB,DET,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Ty Montgomery,RB,3,GB,DET,1,-1,-1,0,0,0,0,0,0,0,-0.10
2016,REG,1,Lamar Miller,RB,1,HOU,CHI,28,106,4,0,4,4,11,0,1,0,13.70
2016,REG,2,Lamar Miller,RB,3,HOU,NE,21,80,4,0,5,4,27,0,0,0,12.70
2016,REG,3,Lamar Miller,RB,4,HOU,TEN,19,82,4,0,3,3,26,0,0,0,12.30
2016,REG,4,Lamar Miller,RB,2,HOU,KC,25,83,3,0,2,2,14,0,0,0,10.70
2016,REG,5,Alfred Blue,RB,5,HOU,MIN,6,39,7,0,0,0,0,0,0,0,3.90
2016,REG,6,Jonathan Grimes,RB,3,HOU,NE,3,4,1,0,4,4,15,0,0,0,3.90
2016,REG,7,Lamar Miller,RB,5,HOU,MIN,8,20,3,0,3,1,4,0,0,0,2.90
