Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,12,Brandon Bolden,RB,2,NE,NO,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Mark Ingram,RB,1,NO,MIN,6,17,3,0,5,5,54,0,0,0,12.10
2017,REG,2,Mark Ingram,RB,2,NO,NE,8,52,7,0,5,4,24,0,0,0,11.60
2017,REG,3,Alvin Kamara,RB,2,NO,NE,1,3,3,0,7,3,51,0,0,0,8.40
2017,REG,4,Alvin Kamara,RB,1,NO,MIN,7,18,3,0,6,4,20,0,0,0,7.80
2017,REG,5,Adrian Peterson,RB,2,NO,NE,8,26,3,0,0,0,0,0,0,0,2.60
2017,REG,6,Adrian Peterson,RB,1,NO,MIN,6,18,3,0,1,0,0,0,0,0,1.80
2017,REG,7,John Kuhn,RB,1,NO,MIN,1,2,2,0,0,0,0,0,0,0,0.20
2017,REG,8,John Kuhn,RB,2,NO,NE,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Shane Vereen,RB,1,NYG,DAL,0,0,0,0,10,9,51,0,0,0,14.10
2017,REG,2,Shane Vereen,RB,2,NYG,DET,6,28,5,0,3,3,27,0,0,0,8.50
2017,REG,3,Paul Perkins,RB,1,NYG,DAL,7,16,2,0,3,2,9,0,0,0,4.50
2017,REG,4,Paul Perkins,RB,2,NYG,DET,7,10,1,0,2,2,12,0,0,0,4.20
2017,REG,5,Orleans Darkwa,RB,2,NYG,DET,3,17,6,0,1,1,3,0,0,0,3.00
2017,REG,6,Orleans Darkwa,RB,1,NYG,DAL,3,14,5,0,1,1,-1,0,0,0,2.30
2017,REG,7,Shane Smith,RB,1,NYG,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Shane Smith,RB,2,NYG,DET,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Matt Forte,RB,2,NYJ,OAK,9,53,6,0,3,3,38,0,0,0,12.10
2017,REG,2,Bilal Powell,RB,1,NYJ,BUF,7,22,3,0,6,5,17,0,0,0,8.90
2017,REG,3,Matt Forte,RB,1,NYJ,BUF,6,16,3,0,5,3,20,0,0,0,6.60
2017,REG,4,Elijah McGuire,RB,2,NYJ,OAK,6,29,5,0,2,1,7,0,0,0,4.60
2017,REG,5,Bilal Powell,RB,2,NYJ,OAK,6,13,2,0,2,0,0,0,0,0,1.30
2017,REG,6,Elijah McGuire,RB,1,NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jalen Richard,RB,2,OAK,NYJ,6,58,10,1,2,2,51,0,0,0,18.90
2017,REG,2,Marshawn Lynch,RB,2,OAK,NYJ,12,45,4,1,2,1,4,0,0,0,11.90
2017,REG,3,Marshawn Lynch,RB,1,OAK,TEN,18,76,4,0,2,1,16,0,0,0,10.20
2017,REG,4,Deandre Washington,RB,2,OAK,NYJ,6,20,3,0,3,3,15,0,1,0,6.50
2017,REG,5,Deandre Washington,RB,1,OAK,TEN,3,4,1,0,2,2,18,0,0,0,4.20
2017,REG,6,Jalen Richard,RB,1,OAK,TEN,5,22,4,0,1,1,6,0,1,0,3.80
2017,REG,1,LeGarrette Blount,RB,1,PHI,WAS,14,46,3,0,1,1,1,1,0,0,11.70
2017,REG,2,Darren Sproles,RB,1,PHI,WAS,2,2,1,0,8,5,43,0,0,0,9.50
2017,REG,3,Darren Sproles,RB,2,PHI,KC,10,48,5,0,4,2,30,0,1,1,8.80
2017,REG,4,Wendell Smallwood,RB,1,PHI,WAS,4,4,1,0,1,1,5,0,0,0,1.90
2017,REG,5,Wendell Smallwood,RB,2,PHI,KC,3,4,1,0,2,1,-3,0,0,0,1.10
2017,REG,6,LeGarrette Blount,RB,2,PHI,KC,0,0,0,0,1,1,0,0,0,0,1.00
2017,REG,7,Corey Clement,RB,1,PHI,WAS,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Corey Clement,RB,2,PHI,KC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Le'Veon Bell,RB,2,PIT,MIN,27,87,3,0,4,4,4,0,0,0,13.10
2017,REG,2,Le'Veon Bell,RB,1,PIT,CLE,10,32,3,0,6,3,15,0,0,0,7.70
2017,REG,3,James Conner,RB,1,PIT,CLE,4,11,3,0,0,0,0,0,0,0,1.10
2017,REG,4,James Conner,RB,2,PIT,MIN,1,9,9,0,0,0,0,0,0,0,0.90
2017,REG,5,Terrell Watson,RB,2,PIT,MIN,1,1,1,0,0,0,0,0,0,0,0.10
2017,REG,6,Roosevelt Nix,RB,1,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Terrell Watson,RB,1,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Roosevelt Nix,RB,2,PIT,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Chris Carson,RB,2,SEA,SF,20,93,5,0,2,1,7,0,0,0,11.00
2017,REG,2,Chris Carson,RB,1,SEA,GB,6,39,7,0,1,1,10,0,0,0,5.90
2017,REG,3,CJ Prosise,RB,2,SEA,SF,0,0,0,0,6,3,22,0,0,0,5.20
2017,REG,4,CJ Prosise,RB,1,SEA,GB,4,11,3,0,0,0,0,0,0,0,1.10
2017,REG,5,Thomas Rawls,RB,2,SEA,SF,5,4,1,0,0,0,0,0,0,0,0.40
2017,REG,6,Eddie Lacy,RB,1,SEA,GB,5,3,1,0,0,0,0,0,0,0,0.30
2017,REG,7,Tre Madden,RB,1,SEA,GB,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Tre Madden,RB,2,SEA,SF,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Carlos Hyde,RB,2,SF,SEA,15,124,8,0,6,3,19,0,0,0,20.30
2017,REG,2,Carlos Hyde,RB,1,SF,CAR,9,45,5,0,6,6,32,0,0,0,13.70
2017,REG,3,Matt Breida,RB,2,SF,SEA,4,35,9,0,2,1,3,0,0,0,4.80
2017,REG,4,Kyle Juszczyk,RB,1,SF,CAR,1,0,0,0,4,2,17,0,0,0,3.70
