"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21842-62535","WR","Tyrell","Tyrell Williams","Williams","5.900000095367432","8","5300","LAC@JAC","LAC","JAC","","","",""
"21842-79974","RB","Tarik","Tarik Cohen","Cohen","9.130000114440918","8","5300","GB@CHI","CHI","GB","","","",""
"21842-12532","D","Detroit","Detroit Lions","Lions","11.125","8","5300","CLE@DET","DET","CLE","","","",""
"21842-26094","WR","Brandon","Brandon Coleman","Coleman","6.275000095367432","8","5300","NO@BUF","NO","BUF","","","",""
"21842-32243","WR","Marquise","Marquise Goodwin","Goodwin","5.922222137451172","9","5300","NYG@SF","SF","NYG","","","",""
"21842-6728","RB","Jamaal","Jamaal Charles","Charles","4.900000095367432","8","5300","NE@DEN","DEN","NE","","","",""
"21842-11864","RB","Chris","Chris Ivory","Ivory","8.137499809265137","8","5300","LAC@JAC","JAC","LAC","","","",""
"21842-39580","RB","Devontae","Devontae Booker","Booker","6.519999694824219","5","5300","NE@DEN","DEN","NE","","","",""
"21842-25272","TE","Eric","Eric Ebron","Ebron","4.3125","8","5300","CLE@DET","DET","CLE","","","",""
"21842-6870","TE","Vernon","Vernon Davis","Davis","6.737500190734863","8","5300","MIN@WAS","WAS","MIN","Q","Hand","",""
"21842-39818","RB","Wayne","Wayne Gallman","Gallman","6.580000305175782","5","5300","NYG@SF","NYG","SF","","","",""
"21842-33691","RB","Orleans","Orleans Darkwa","Darkwa","7.214285714285714","7","5300","NYG@SF","NYG","SF","","","",""
"21842-14257","WR","Randall","Randall Cobb","Cobb","7.928571428571429","7","5300","GB@CHI","GB","CHI","","","",""
"21842-8117","WR","Danny","Danny Amendola","Amendola","7.899999891008649","7","5300","NE@DEN","NE","DEN","","","",""
"21842-14349","WR","Jeremy","Jeremy Kerley","Kerley","4.337500095367432","8","5200","NYJ@TB","NYJ","TB","O","Suspension","",""
"21842-53303","RB","Matt","Matt Breida","Breida","4.722222222222222","9","5200","NYG@SF","SF","NYG","","","",""
"21842-12554","D","Jacksonville","Jacksonville Jaguars","Jaguars","15","8","5200","LAC@JAC","JAC","LAC","","","",""
"21842-53532","WR","Roger","Roger Lewis","Lewis","3.5428570338657925","7","5200","NYG@SF","NYG","SF","","","",""
"21842-30237","RB","Mike","Mike Gillislee","Gillislee","7.1875","8","5200","NE@DEN","NE","DEN","","","",""
"21842-6840","RB","Frank","Frank Gore","Gore","8.944444444444445","9","5200","PIT@IND","IND","PIT","","","",""
"21842-41806","WR","Laquon","Laquon Treadwell","Treadwell","2.8857143947056363","7","5200","MIN@WAS","MIN","WAS","","","",""
"21842-54244","WR","Kenny","Kenny Golladay","Golladay","8.566666920979818","3","5200","CLE@DET","DET","CLE","Q","Hamstring","",""
"21842-24675","WR","Martavis","Martavis Bryant","Bryant","5.7999997820172995","7","5100","PIT@IND","PIT","IND","","","",""
"21842-34073","TE","Ryan","Ryan Griffin","Griffin","5.049999872843425","6","5100","HOU@LAR","HOU","LAR","Q","Concussion","",""
"21842-39280","RB","Derrick","Derrick Henry","Henry","7.650000095367432","8","5100","CIN@TEN","TEN","CIN","","","",""
"21842-39286","TE","O.J.","O.J. Howard","Howard","5.712500095367432","8","5100","NYJ@TB","TB","NYJ","","","",""
"21842-44449","WR","Willie","Willie Snead","Snead","-0.20000000298023224","2","5100","NO@BUF","NO","BUF","","","",""
"21842-55830","RB","D'Onta","D'Onta Foreman","Foreman","4.385714394705636","7","5100","HOU@LAR","HOU","LAR","","","",""
"21842-6782","K","Matt","Matt Prater","Prater","10.75","8","5100","CLE@DET","DET","CLE","","","",""
"21842-33465","RB","Theo","Theo Riddick","Riddick","6.775000095367432","8","5100","CLE@DET","DET","CLE","","","",""
"21842-14372","WR","Aldrick","Aldrick Robinson","Robinson","3.825000047683716","8","5000","NYG@SF","SF","NYG","","","",""
"21842-52451","RB","Samaje","Samaje Perine","Perine","5.4","5","5000","MIN@WAS","WAS","MIN","","","",""
"21842-24817","TE","Nick","Nick O'Leary","O'Leary","4.516666730244954","6","5000","NO@BUF","BUF","NO","","","",""
"21842-10647","K","Matt","Matt Bryant","Bryant","9.25","8","5000","DAL@ATL","ATL","DAL","Q","Leg","",""
"21842-21957","WR","Kendall","Kendall Wright","Wright","7.150000254313151","6","5000","GB@CHI","CHI","GB","","","",""
"21842-7900","K","Stephen","Stephen Gostkowski","Gostkowski","10.75","8","5000","NE@DEN","NE","DEN","","","",""
"21842-39793","TE","George","George Kittle","Kittle","5.244444529215495","9","5000","NYG@SF","SF","NYG","O","Leg","",""
"21842-40126","TE","Austin","Austin Hooper","Hooper","7.199999809265137","8","4900","DAL@ATL","ATL","DAL","","","",""
"21842-48380","K","Wil","Wil Lutz","Lutz","10.25","8","4900","NO@BUF","NO","BUF","","","",""
"21842-6448","TE","Martellus","Martellus Bennett","Bennett","5.0428570338657925","7","4900","GB@CHI","GB","CHI","Q","Shoulder","",""
"21842-31061","RB","T.J.","T.J. Yeldon","Yeldon","12.449999809265137","2","4900","LAC@JAC","JAC","LAC","","","",""
