QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,QB,Nick Foles (9725668),Nick Foles,9725668,QB,4400,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,WR,Corey Davis (9726087),Corey Davis,9726087,WR,4400,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Josh Doctson (9725877),Josh Doctson,9725877,WR,4400,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,RB,Charcandrick West (9726155),Charcandrick West,9726155,RB,4400,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,QB,Matt Schaub (9725556),Matt Schaub,9725556,QB,4300,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,TE,Jack Doyle (9725737),Jack Doyle,9725737,TE,4300,IND@HOU 11/05/2017 01:00PM ET,IND,
,,,,,,,,,,QB,Chad Henne (9725560),Chad Henne,9725560,QB,4300,CIN@JAX 11/05/2017 01:00PM ET,JAX,
,,,,,,,,,,WR,Robert Woods (9725838),Robert Woods,9725838,WR,4300,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,RB,Javorius Allen (9725896),Javorius Allen,9725896,RB,4300,BAL@TEN 11/05/2017 01:00PM ET,BAL,
,,,,,,,,,,QB,Austin Davis (9725656),Austin Davis,9725656,QB,4300,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,WR,Robby Anderson (9725973),Robby Anderson,9725973,WR,4200,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,QB,Scott Tolzien (9725597),Scott Tolzien,9725597,QB,4200,IND@HOU 11/05/2017 01:00PM ET,IND,
,,,,,,,,,,QB,Sean Mannion (9725854),Sean Mannion,9725854,QB,4200,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,WR,Sammy Watkins (9725908),Sammy Watkins,9725908,WR,4200,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,RB,LeGarrette Blount (9725684),LeGarrette Blount,9725684,RB,4200,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,WR,John Brown (9725735),John Brown,9725735,WR,4200,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,RB,Matt Breida (9726145),Matt Breida,9726145,RB,4200,ARI@SF 11/05/2017 04:05PM ET,SF,
,,,,,,,,,,RB,DeAndre Washington (9726214),DeAndre Washington,9726214,RB,4200,OAK@MIA 11/05/2017 08:30PM ET,OAK,
,,,,,,,,,,QB,Jake Rudock (9726272),Jake Rudock,9726272,QB,4200,DET@GB 11/06/2017 08:30PM ET,DET,
,,,,,,,,,,RB,Matt Forte (9725563),Matt Forte,9725563,RB,4100,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,TE,Charles Clay (9725654),Charles Clay,9725654,TE,4100,BUF@NYJ 11/02/2017 08:25PM ET,BUF,
,,,,,,,,,,RB,Marlon Mack (9726199),Marlon Mack,9726199,RB,4100,IND@HOU 11/05/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Allen Hurns (9725796),Allen Hurns,9725796,WR,4100,CIN@JAX 11/05/2017 01:00PM ET,JAX,
,,,,,,,,,,RB,Jamaal Charles (9725583),Jamaal Charles,9725583,RB,4100,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,WR,Eric Decker (9725578),Eric Decker,9725578,WR,4100,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Vernon Davis (9725535),Vernon Davis,9725535,TE,4100,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,WR,Terrelle Pryor Sr. (9725690),Terrelle Pryor Sr.,9725690,WR,4100,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,QB,Joe Webb (9725577),Joe Webb,9725577,QB,4000,BUF@NYJ 11/02/2017 08:25PM ET,BUF,
,,,,,,,,,,QB,Bryce Petty (9725759),Bryce Petty,9725759,QB,4000,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,QB,Nathan Peterman (9725988),Nathan Peterman,9725988,QB,4000,BUF@NYJ 11/02/2017 08:25PM ET,BUF,
,,,,,,,,,,QB,Christian Hackenberg (9726134),Christian Hackenberg,9726134,QB,4000,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
