Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,26,Josh Bellamy,WR,4,CHI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,27,Deonte Thompson,WR,5,CHI,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,AJ Green,WR,1,CIN,NYJ,13,12,92,180,1,54,14,15,0,0,0,0,0,30.00
2016,REG,2,AJ Green,WR,4,CIN,MIA,12,10,83,173,1,51,14,17,0,0,0,0,0,28.30
2016,REG,3,Brandon LaFell,WR,5,CIN,DAL,11,8,73,68,2,14,6,9,0,0,0,0,0,22.80
2016,REG,4,AJ Green,WR,3,CIN,DEN,11,8,73,77,0,20,7,10,0,0,0,0,0,11.70
2016,REG,5,Brandon LaFell,WR,1,CIN,NYJ,4,4,100,91,0,49,23,23,0,0,0,0,0,11.10
2016,REG,6,Tyler Boyd,WR,2,CIN,PIT,8,6,75,78,0,29,10,13,0,0,0,1,1,8.80
2016,REG,7,AJ Green,WR,5,CIN,DAL,8,4,50,50,0,22,6,13,0,0,0,0,0,7.00
2016,REG,8,Brandon LaFell,WR,4,CIN,MIA,6,4,67,44,0,23,7,11,0,0,0,0,0,6.40
2016,REG,9,Brandon LaFell,WR,2,CIN,PIT,8,3,38,39,0,17,5,13,0,0,0,0,0,5.40
2016,REG,10,AJ Green,WR,2,CIN,PIT,8,2,25,38,0,21,5,19,0,0,0,0,0,4.80
2016,REG,11,Tyler Boyd,WR,5,CIN,DAL,5,3,60,33,0,20,7,11,0,0,0,0,0,4.80
2016,REG,12,Brandon LaFell,WR,3,CIN,DEN,3,2,67,34,0,27,11,17,1,-2,0,0,0,4.20
2016,REG,13,Tyler Boyd,WR,1,CIN,NYJ,3,2,67,24,0,14,8,12,0,0,0,0,0,3.40
2016,REG,14,Tyler Boyd,WR,3,CIN,DEN,4,3,75,18,0,9,5,6,0,0,0,0,0,3.30
2016,REG,15,Alex Erickson,WR,2,CIN,PIT,1,1,100,20,0,20,20,20,0,0,0,0,0,2.50
2016,REG,16,James Wright,WR,2,CIN,PIT,1,1,100,10,0,10,10,10,0,0,0,0,0,1.50
2016,REG,17,James Wright,WR,3,CIN,DEN,1,1,100,10,0,10,10,10,0,0,0,0,0,1.50
2016,REG,18,Tyler Boyd,WR,4,CIN,MIA,3,1,33,10,0,10,3,10,0,0,0,0,0,1.50
2016,REG,19,James Wright,WR,1,CIN,NYJ,1,1,100,7,0,7,7,7,2,-6,0,0,0,0.60
2016,REG,20,Alex Erickson,WR,1,CIN,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Alex Erickson,WR,3,CIN,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,James Wright,WR,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Alex Erickson,WR,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,24,Cody Core,WR,5,CIN,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,25,Alex Erickson,WR,5,CIN,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Terrelle Pryor,WR,3,CLE,MIA,14,8,57,144,0,40,10,18,4,21,1,0,0,27.90
2016,REG,2,Corey Coleman,WR,2,CLE,BAL,8,5,63,104,2,47,13,21,0,0,0,0,0,24.90
2016,REG,3,Andrew Hawkins,WR,5,CLE,NE,7,4,57,56,1,24,8,14,0,0,0,0,0,13.60
2016,REG,4,Terrelle Pryor,WR,4,CLE,WAS,9,5,56,46,1,13,5,9,1,-6,0,0,0,12.50
2016,REG,5,Terrelle Pryor,WR,1,CLE,PHI,7,3,43,68,0,44,10,23,0,0,0,0,0,8.30
2016,REG,6,Corey Coleman,WR,1,CLE,PHI,5,2,40,69,0,58,14,35,0,0,0,0,0,7.90
2016,REG,7,Terrelle Pryor,WR,5,CLE,NE,6,5,83,48,0,15,8,10,2,3,0,1,0,7.80
2016,REG,8,Ricardo Louis,WR,3,CLE,MIA,4,3,75,40,0,28,10,13,0,0,0,1,0,5.50
2016,REG,9,Terrelle Pryor,WR,2,CLE,BAL,10,3,30,32,0,16,3,11,0,0,0,0,0,4.70
2016,REG,10,Andrew Hawkins,WR,2,CLE,BAL,3,3,100,28,0,16,9,9,0,0,0,0,0,4.30
2016,REG,11,Andrew Hawkins,WR,4,CLE,WAS,3,3,100,28,0,12,9,9,0,0,0,0,0,4.30
2016,REG,12,Ricardo Louis,WR,4,CLE,WAS,5,3,60,28,0,13,6,9,0,0,0,0,0,4.30
2016,REG,13,Andrew Hawkins,WR,3,CLE,MIA,4,2,50,14,0,9,4,7,1,1,0,0,0,2.50
2016,REG,14,Ricardo Louis,WR,5,CLE,NE,5,2,40,13,0,8,3,7,0,0,0,0,0,2.30
2016,REG,15,Ricardo Louis,WR,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Rashard Higgins,WR,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,Ricardo Louis,WR,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Rashard Higgins,WR,2,CLE,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Jordan Payton,WR,3,CLE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Rashard Higgins,WR,3,CLE,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Rashard Higgins,WR,4,CLE,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Rashard Higgins,WR,5,CLE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Andrew Hawkins,WR,1,CLE,PHI,3,0,0,0,0,0,0,0,1,-1,0,0,0,-0.10
2016,REG,1,Dez Bryant,WR,2,DAL,WAS,12,7,58,102,0,21,9,15,0,0,0,0,0,13.70
2016,REG,2,Cole Beasley,WR,5,DAL,CIN,4,4,100,53,1,18,13,13,0,0,0,0,0,13.30
2016,REG,3,Brice Butler,WR,4,DAL,SF,9,5,56,41,1,14,5,8,0,0,0,0,0,12.60
2016,REG,4,Terrance Williams,WR,4,DAL,SF,6,4,67,44,1,20,7,11,0,0,0,0,0,12.40
2016,REG,5,Dez Bryant,WR,3,DAL,CHI,6,3,50,40,1,17,7,13,0,0,0,0,0,11.50
2016,REG,6,Cole Beasley,WR,3,DAL,CHI,7,7,100,73,0,29,10,10,0,0,0,0,0,10.80
2016,REG,7,Cole Beasley,WR,1,DAL,NYG,12,8,67,65,0,15,5,8,0,0,0,0,0,10.50
2016,REG,8,Cole Beasley,WR,2,DAL,WAS,6,5,83,75,0,28,13,15,0,0,0,0,0,10.00
2016,REG,9,Terrance Williams,WR,5,DAL,CIN,5,5,100,70,0,21,14,14,0,0,0,0,0,9.50
2016,REG,10,Cole Beasley,WR,4,DAL,SF,4,3,75,66,0,47,17,22,1,7,0,0,0,8.80
2016,REG,11,Terrance Williams,WR,3,DAL,CHI,4,4,100,88,0,47,22,22,0,0,0,1,1,8.80
2016,REG,12,Terrance Williams,WR,1,DAL,NYG,4,3,75,34,0,14,9,11,0,0,0,0,0,4.90
2016,REG,13,Brice Butler,WR,5,DAL,CIN,3,2,67,20,0,13,7,10,0,0,0,0,0,3.00
2016,REG,14,Brice Butler,WR,1,DAL,NYG,2,1,50,16,0,16,8,16,0,0,0,0,0,2.10
2016,REG,15,Dez Bryant,WR,1,DAL,NYG,5,1,20,8,0,8,2,8,0,0,0,0,0,1.30
2016,REG,16,Lucky Whitehead,WR,5,DAL,CIN,0,0,0,0,0,0,0,0,1,9,0,1,0,0.90
2016,REG,17,Lucky Whitehead,WR,4,DAL,SF,0,0,0,0,0,0,0,0,1,8,0,0,0,0.80
2016,REG,18,Lucky Whitehead,WR,3,DAL,CHI,0,0,0,0,0,0,0,0,1,3,0,0,0,0.30
2016,REG,19,Lucky Whitehead,WR,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Brice Butler,WR,2,DAL,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Terrance Williams,WR,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Lucky Whitehead,WR,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
